Fiscal Year,Province,Total Carbon Emissions (10K tons)
2020,Ningxia,14204.0266
2020,Xinjiang,40592.002
2021,Beijing,11367.1994
2021,Tianjin,18664.082
2021,Hebei,52443.6358
2021,Shanxi,72067.6391
2021,Inner Mongolia,48753.8744
2021,Liaoning,90341.7499
2021,Jilin,13080.5414
2021,Heilongjiang,23082.1599
2021,Shanghai,24478.4489
2021,Jiangsu,66472.8658
2021,Zhejiang,63534.1211
2021,Anhui,26299.5419
2021,Fujian,34507.8923
2021,Jiangxi,14808.1552
2021,Shandong,154180.239
2021,Henan,30745.5386
2021,Hubei,26050.6018
2021,Hunan,18360.5812
2021,Guangdong,77882.2108
2021,Guangxi,22825.4634
2021,Hainan,9944.8435
2021,Chongqing,7602.7946
2021,Sichuan,22979.3611
2021,Guizhou,13105.2513
2021,Yunnan,16758.1921
2021,Shaanxi,34821.0674
2021,Gansu,19534.1896
2021,Qinghai,4986.3271
2021,Ningxia,15469.6562
2021,Xinjiang,44072.6246
2022,Anhui,26227.334
2022,Beijing,11311.5238
2022,Fujian,32660.1726
2022,Gansu,19840.805
2022,Guangdong,76121.9513
2022,Guangxi,21901.8746
2022,Guizhou,15217.8271
2022,Hainan,8404.9639
2022,Hebei,52813.6491
2022,Henan,31904.9471
2022,Heilongjiang,22715.7648
2022,Hubei,25890.3337
2022,Hunan,18736.5667
2022,Jilin,13516.2656
2022,Jiangsu,67075.0074
2022,Jiangxi,15414.0292
2022,Liaoning,85389.5382
2022,Inner Mongolia,50070.6841
2022,Ningxia,16415.8237
2022,Qinghai,5107.39
2022,Shandong,144621.6532
2022,Shanxi,76599.2791
2022,Shaanxi,36818.0698
2022,Shanghai,22821.0165
2022,Sichuan,23035.7887
2022,Tianjin,18242.6325
2022,Xinjiang,44482.0201
2022,Yunnan,17027.312
2022,Zhejiang,71785.8588
2022,Chongqing,7697.1817
